transid,transsurv,plotsurv,paddock,plot,obs,hbee,nbee,hover,date,sx,fx,sy,fy,loc,pair,inf,rankinf,dupl,temp,windspeed,winddir,cloudc,disttoedgecalc,disttoedgemeasured,w100,w200,w300,w400,w500,w600,w700,w800,w900,w1000,w1500,w2000,c100,c200,c300,c400,c500,c1000,c1500,area,perimeter,gyration,paratio,shape,fractaldimention,circumscircle,contiguity,links100,links200,links300,links400,links500,links1000,links1500,links2000,windspeed2
G1,1,1,1,MC-1,Sonia,12,8,15,1,645509,645479,6182822,6182829,edge,I,15.25,3.260997067,0,NA,1,NA,NA,69.47,69,1636,5093,9453,14006,21385,NA,NA,NA,NA,179189,850904,1666300,28549,90482,183350,303149,404717,811090,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,1,3,109,406,20513,580394,1482317,0.9
G2,2,2,1,MC-2,Sonia,6,4,5,1,645147,645103,6182882,6182896,edge,O,11.75,3.1691519,0,NA,2,NA,NA,23.92,24,1025,2981,9678,22917,33234,NA,NA,NA,NA,333777,1183548,2042500,14086,43162,93197,159734,238980,690174,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,4,11,941,1212,203674,996645,1923284,2.5
G3,3,3,1,MC-3,Sonia,0,3,6,1,645234,645243,6183285,6183297,edge,I,8.75,3.320015374,0,NA,3,NA,NA,62.67,60,586,3961,7535,16504,44361,NA,NA,NA,NA,700759,1609355,2349200,26902,85955,165364,268472,376283,744760,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,35,141,9029,570924,1509189,2235153,4.5
G4,4,4,1,MC-4,Sonia,13,0,9,1,645395,645410,6183555,6183548,edge,O,18,3.138504864,0,NA,3,NA,NA,58.82,21,1357,4290,6703,21148,78924,NA,NA,NA,NA,782212,1687560,2402000,19248,61072,122303,203044,298055,760376,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,13,50,69,4400,27312,695281,1613436,2297036,4.5
G5,5,5,1,MC-5,Sonia,3,0,7,1,645550,645567,6183413,6183408,200,I,7,2.783809524,0,NA,2,NA,NA,172.99,173,0,0,1650,6703,36420,NA,NA,NA,NA,497892,1401986,2152700,31415,121780,227052,333758,451982,811069,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,27,84,5054,354652,1262817,2020685,2.5
G6,6,6,1,MC-6,Sonia,0,0,8,1,645441,645442,6183314,6183291,200,O,2,2.926666667,0,NA,2,NA,NA,231.49,226,0,0,2208,9819,15787,NA,NA,NA,NA,528461,1438230,2177600,31415,125661,259309,381339,501994,806555,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,16,55,92,369813,1293124,2050540,2.5
G7,7,7,1,MC-7,Sonia,6,3,18,1,645408,645409,6183049,6183018,200,I,13.5,2.727272727,0,NA,2,NA,NA,244.32,244,0,281,4612,11762,15229,NA,NA,NA,NA,336776,1179879,1974700,31415,125661,266660,392086,498469,809834,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,0,1,7,155558,1007351,1857007,2.5
G8,8,8,1,MC-8,Sonia,5,0,13,1,645523,645542,6182991,6182988,200,O,11.75,2.454545455,0,NA,1,NA,NA,237.76,238,13,1618,5459,8457,18965,NA,NA,NA,NA,268898,1015665,1822700,31415,125661,267490,412095,558564,811090,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,1,2,75,70955,814645,1669436,0.9
G9,9,9,1,MC-9,Sonia,7,3,3,2,645710,645712,6183028,6183054,450,O,12.5,4,0,24,4.5,NA,NA,337.7,338,247,628,2241,5574,16117,NA,NA,NA,NA,223157,896558,1727300,31415,113213,262733,453697,633831,811090,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,1,2,329,40071,673151,1539486,8.3
G10,10,10,1,MC-10,Sonia,13,4,4,2,645739,645756,6182874,6182886,200,O,21,3.687356322,0,24,4.5,NA,NA,194.09,194,167,2239,9539,19310,27534,NA,NA,NA,NA,161113,685350,1534200,31415,111483,215076,339879,486171,811090,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,1,63,629,1005,9797,407439,1296337,8.3
G11,11,11,1,MC-11,Sonia,9,2,8,2,646066,646039,6183162,6183172,200,I,18.75,3.687356322,0,25,4.5,NA,NA,186.25,186,0,0,697,1407,9921,NA,NA,NA,NA,183611,609367,1513100,31415,124376,221500,339966,444745,810993,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,0,0,35,31739,338714,1216654,8.3
G12,12,12,1,MC-12,Sonia,6,3,2,2,645916,645895,6183251,6183248,200,O,10.5,3.782692308,0,26,4,NA,NA,182.19,182,0,0,287,916,5416,NA,NA,NA,NA,204543,845286,1742800,30215,114606,230638,375835,523088,811090,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,0,0,34,40421,618936,1514024,6.9
G13,13,13,1,MC-13,Sonia,25,5,3,2,645820,645839,6183452,6183443,edge,I,23.25,3.782692308,0,27,4,NA,NA,56.56,57,0,214,2957,16690,43189,NA,NA,NA,NA,272894,1090315,1945800,26385,81169,162526,269673,401285,811090,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,26,765,7201,108280,897805,1771533,6.9
G14,14,14,1,MC-14,Sonia,7,0,1,2,646188,646200,6183279,6183273,edge,O,13,3.837465565,0,26,4,NA,NA,26.73,27,0,383,809,1574,9229,NA,NA,NA,NA,170570,530075,1424200,21039,69819,143031,225713,313552,763841,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,0,0,68,30984,246950,1112658,6.9
G15,15,15,1,MC-15,Sonia,9,2,8,2,646353,646327,6182954,6182953,edge,I,13.5,3.40577676,0,27,3.5,NA,NA,72.58,73,260,7081,20410,35040,53646,NA,NA,NA,NA,119289,305848,993100,26564,59670,107848,173644,225784,643214,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,238,1072,2541,3919,6206,52536,620278,5.7
G16,16,16,1,MC-16,Sonia,23,4,11,2,645836,645819,6182688,6182703,edge,O,16.5,3.136622391,0,28,3.5,NA,NA,40.79,41,1279,7605,22285,34935,50446,NA,NA,NA,NA,122282,434306,1263500,17784,51411,115643,195430,304481,811090,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,46,546,986,1396,2985,5853,144134,994408,5.7
MC1G1,17,17,2,MC1-1,Sonia,16,0,4,2,648244,648265,6183892,6183887,edge,O,16.5,4,0,26,3,NA,NA,35.67,36,3416,8705,13467,22076,35892,NA,NA,NA,NA,102877,191949,259600,18629,50970,91239,141072,200631,560091,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,5,11,121,436,1480,12769,13807,4.5
MC1G2,18,18,2,MC1-2,Sonia,9,0,12,2,648613,648630,6183996,6184001,edge,I,19.25,4,0,26,3,NA,NA,67.26,67,713,4379,8150,11590,22660,NA,NA,NA,NA,73150,190833,261600,28063,89222,181391,300826,398725,621877,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,5,11,12,559,11391,13875,4.5
MC1G3,19,19,2,MC1-3,Sonia,11,0,8,2,648977,648996,6184122,6184128,edge,O,21.75,3.669354839,0,26,4,NA,NA,36.88,37,503,1524,4290,8230,11576,NA,NA,NA,NA,66389,142503,274900,22913,72301,141707,232332,343883,621877,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,1,1,1056,2143,14212,6.9
MC1G4,20,20,2,MC1-4,Sonia,11,2,11,2,649101,649108,6184385,6184414,edge,I,17.25,3.278445748,0,26,2.5,NA,NA,44.32,44,413,1526,3259,5191,8896,NA,NA,NA,NA,60069,122075,240600,24274,79971,163848,252760,328066,619189,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,0,0,882,1929,4800,3.5
MC1G5,21,21,2,MC1-5,Sonia,35,5,15,2,649146,649128,6184695,6184702,edge,O,25.75,3.419389012,0,26,3.5,NA,NA,12.55,29,577,1484,2788,4904,7581,NA,NA,NA,NA,40415,106309,209500,17404,47386,90009,144743,211628,559579,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,26,31,35,1500,3842,5.7
MC1G6,22,22,2,MC1-6,Sonia,5,1,8,2,648737,648709,6184641,6184625,edge,I,15,3.810298103,0,27,3,NA,NA,46.35,46,32,32,143,1210,4541,NA,NA,NA,NA,50164,133639,225500,24604,81138,168970,287473,405993,621877,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,0,0,50,2054,7110,4.5
MC1G7,23,23,2,MC1-7,Sonia,11,0,2,2,648458,648437,6184598,6184595,edge,O,22.75,4,0,27,3,NA,NA,30.39,30,9,2081,5174,8781,11471,NA,NA,NA,NA,50246,123160,253800,21683,65609,127717,209004,309583,621877,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,0,3,34,828,14447,4.5
MC1G8,24,24,2,MC1-8,Sonia,8,0,2,2,648347,648342,6184302,6184274,edge,I,19,4,0,27,2.5,NA,NA,56.59,57,1832,5096,6266,9724,20030,NA,NA,NA,NA,71924,158390,259200,26390,85165,175127,288269,394008,621877,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,1,4,5,574,3728,14401,3.5
MC1G9,25,25,2,MC1-9,Sonia,2,0,11,2,648639,648653,6184292,6184300,400,O,11.25,4,0,23,2,NA,NA,329.92,330,0,112,112,6501,13035,NA,NA,NA,NA,58635,151977,258900,31415,125661,282740,460209,561755,621877,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,0,1,359,2718,14400,2.5
MC2BG1,26,26,3,MC2-B1,Sonia,4,0,0,3,654091,654077,6176780,6176757,edge,I,17.25,4,0,NA,5,NA,NA,40.65,31,0,0,140,477,992,NA,NA,NA,NA,46461,121018,213900,21858,73814,134499,207054,292837,635150,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,0,1172,2423,3771,9.6
MC2BG2,27,27,3,MC2-B2,Sonia,18,1,2,3,653938,653897,6176727,6176718,200,O,25,4,0,NA,5,NA,NA,168.99,166,0,84,186,1092,11346,NA,NA,NA,NA,48557,120593,210000,31415,120684,205490,293412,394318,666780,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,478,1111,2443,3179,9.6
MC2BG3,28,28,3,MC2-B3,Sonia,10,0,3,3,653867,653852,6176843,6176831,edge,I,27.75,3.904458599,0,NA,5,NA,NA,41.2,38,84,197,531,10397,18647,NA,NA,NA,NA,45991,121634,213400,23297,78316,148854,226818,317675,657460,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,486,1000,1106,2309,3132,9.6
MC2BG4,29,29,3,MC2-B4,Sonia,8,0,2,3,653853,653853,6176515,6176515,400,O,20.25,3.357906875,0,NA,4.5,NA,NA,329.33,319,0,0,70,251,5052,NA,NA,NA,NA,51503,108212,207500,31415,125661,282740,453689,552299,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,0,1483,2197,3107,8.3
MC2BG5,30,30,3,MC2-B5,Sonia,6,2,1,3,653561,653553,6176529,6176508,200,I,7.75,3.198185118,0,NA,4.5,NA,NA,204.65,201,0,96,1760,9935,22585,NA,NA,NA,NA,50059,102215,215400,31415,125661,237020,357674,497745,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,45,869,1107,1931,2742,8.3
MC2BG6,31,31,3,MC2-B6,Sonia,16,3,2,3,653490,653470,6176683,6176674,edge,O,21.5,3.598272196,0,NA,4.5,NA,NA,27.12,23,109,3779,15232,22842,25443,NA,NA,NA,NA,45273,110662,216700,20301,68133,137967,229142,340163,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,16,632,1065,1067,1106,2250,2741,8.3
MC2BG7,32,32,3,MC2-B7,Sonia,1,0,4,3,653437,653438,6176593,6176574,100,I,6.25,3.180808081,0,NA,4,NA,NA,96.1,86,258,1831,6413,19471,26118,NA,NA,NA,NA,47229,103725,218600,30121,83918,157888,251562,366461,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,19,696,1067,1104,2161,2740,6.9
MC2BG8,33,33,3,MC2-B8,Sonia,20,6,0,3,653342,653340,6176491,6176486,edge,O,22.75,2.654545455,0,NA,3,NA,NA,20.95,21,898,3299,5619,9087,19493,NA,NA,NA,NA,47189,95258,220900,19555,67827,136954,226938,336270,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,1,2,5,31,429,1103,1539,2745,4.5
MC2BG9,34,34,3,MC2-B9,Sonia,16,4,3,3,653306,653306,6176052,6176040,edge,I,12,3.78974359,0,NA,1,NA,NA,18.03,21,163,1292,3016,4882,7687,NA,NA,NA,NA,51505,98268,203400,18082,64971,118308,178247,248006,629607,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,1,3,4,1104,1482,2393,0.9
MC2BG10,35,35,3,MC2-B10,Sonia,11,2,2,3,653474,653494,6176146,6176146,200,O,20.75,3.370807624,0,NA,4,NA,NA,212.05,198,309,477,1815,4252,6800,NA,NA,NA,NA,54888,96722,202700,31415,125597,219810,302762,391387,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,3,4,1141,1484,2761,6.9
MC2BG11,36,36,3,MC2-B11,Sonia,9,0,4,3,653547,653564,6175964,6175985,edge,I,20.75,2.939171123,0,NA,3.5,NA,NA,30.24,30,0,460,1087,3764,11599,NA,NA,NA,NA,54737,111649,191600,21956,73558,146549,220300,302096,658407,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,34,1048,1632,2387,5.7
MC2BG12,37,37,3,MC2-B12,Sonia,7,0,7,3,653761,653784,6176047,6176059,edge,O,24.5,3.240546218,0,NA,2,NA,NA,8.6,9,120,220,5348,8636,13314,NA,NA,NA,NA,57463,109546,189200,17089,65557,147141,258875,393363,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,34,34,36,1282,1651,2949,2.5
MC2BG13,38,38,3,MC2-B13,Sonia,5,0,1,3,653702,653723,6176279,6176287,400,I,20.5,3.277310924,0,NA,2,NA,NA,246.25,246,0,0,124,3372,10414,NA,NA,NA,NA,55698,98955,204500,31415,125661,268718,433063,585075,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,36,1481,1634,2600,2.5
MC2BG14,39,39,3,MC2-B14,Sonia,7,1,2,3,653990,653995,6176311,6176332,200,O,21,3.159235669,0,NA,3.5,NA,NA,167.86,168,0,230,3956,7584,10564,NA,NA,NA,NA,57985,95493,202600,31415,118803,214807,318149,436356,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,34,36,1481,1634,3143,5.7
MC2BG15,40,40,3,MC2-B15,Sonia,5,1,2,3,654049,654067,6176193,6176201,edge,I,13.5,3.159235669,0,NA,4.5,NA,NA,27.24,26,764,4588,8459,12306,14193,NA,NA,NA,NA,60162,100652,207000,19643,68398,138437,222460,322809,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,34,37,41,1237,1653,3838,8.3
MC2BG16,41,41,3,MC2-B16,Sonia,11,0,3,3,654136,654144,6176262,6176278,100,O,12.75,3,0,NA,3,NA,NA,60.72,33,42,1500,5397,11029,14013,NA,NA,NA,NA,59250,96423,206100,22052,65877,125982,203453,297270,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,36,40,1263,1645,3833,4.5
MC2BG17,42,42,3,MC2-B17,Sonia,6,1,13,3,654174,654172,6176431,6176460,edge,I,14.25,3,0,NA,3,NA,NA,37.94,27,103,152,266,2396,6913,NA,NA,NA,NA,54719,99810,207900,20946,71128,139502,225088,327037,668080,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,34,1479,1634,3698,4.5
MC2BB1,44,26,3,MC2-B1,Andrew,3,0,0,3,654096,654102,6176781,6176761,edge,O,41,4,0,NA,5,NA,NA,25.64,16,0,0,84,470,1048,NA,NA,NA,NA,45936,120743,214200,18941,68178,128218,199812,284525,630939,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,0,1110,2423,3769,9.6
MC2BB2,45,27,3,MC2-B2,Andrew,12,0,2,3,653932,653909,6176690,6176706,200,I,41.75,4,0,NA,5,NA,NA,192.98,190,0,84,89,407,9018,NA,NA,NA,NA,48479,120832,210100,31415,124914,218507,309653,413556,668258,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,401,1112,2429,3185,9.6
MC2BB3,46,28,3,MC2-B3,Andrew,4,0,0,3,653864,653846,6176853,6176845,edge,O,43.25,3.904458599,0,NA,5,NA,NA,28.21,25,84,197,1245,11548,18796,NA,NA,NA,NA,45984,122466,213800,20842,73189,142326,219231,308997,655456,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,487,1000,1106,2309,3132,9.6
MC2BB4,47,29,3,MC2-B4,Andrew,6,0,6,3,653859,653847,6176496,6176489,400,I,30,3.357906875,0,NA,4.5,NA,NA,335,325,0,0,0,360,5182,NA,NA,NA,NA,51117,105553,207500,31415,125661,282740,460491,559453,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,0,1481,1989,3112,8.3
MC2BB5,48,30,3,MC2-B5,Andrew,4,1,0,3,653540,653528,6176544,6176527,200,O,14,3.198185118,0,NA,4.5,NA,NA,179.63,176,0,263,3145,12143,24246,NA,NA,NA,NA,49062,101470,216100,31415,122061,220502,334811,469282,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,1,271,996,1107,2041,2735,8.3
MC2BB6,49,31,3,MC2-B6,Andrew,11,2,2,3,653496,653477,6176662,6176654,edge,I,37.5,3.598272196,0,NA,4.5,NA,NA,49.13,45,4,2661,12633,22752,25485,NA,NA,NA,NA,45649,109078,216100,24425,76496,149825,244095,358307,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,12,397,1065,1067,1105,2244,2738,8.3
MC2BB7,50,32,3,MC2-B7,Andrew,7,1,6,3,653430,653414,6176586,6176572,100,O,7.25,3.180808081,0,NA,4,NA,NA,94,73,300,1921,5917,18864,26126,NA,NA,NA,NA,47203,102455,218600,28522,80102,152030,243894,357019,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,18,571,1067,1104,2147,2743,6.9
MC2BB8,51,33,3,MC2-B8,Andrew,8,1,2,3,653367,653367,6176486,6176464,edge,I,17,2.654545455,0,NA,3,NA,NA,49.39,28,448,2674,5597,8542,18599,NA,NA,NA,NA,47664,95100,220400,24946,79348,154258,249605,363615,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,2,3,20,429,1103,1539,2740,4.5
MC2BB9,52,34,3,MC2-B9,Andrew,7,2,0,3,653299,653299,6176045,6176033,edge,O,23,3.78974359,0,NA,1,NA,NA,8.63,14,160,1264,3008,4876,7713,NA,NA,NA,NA,51002,98562,203300,16435,61564,113598,172589,241275,624814,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,1,3,4,1104,1481,2235,0.9
MC2BB10,53,35,3,MC2-B10,Andrew,2,0,1,3,653486,653500,6176170,6176164,200,I,20.5,3.370807624,0,NA,4,NA,NA,225.19,205,309,335,1834,4221,6923,NA,NA,NA,NA,54616,96341,202400,31415,125661,230783,318350,408992,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,3,4,1172,1484,2771,6.9
