transid,transsurv,plotsurv,paddock,plot,obs,hbee,nbee,hover,date,sx,fx,sy,fy,loc,pair,inf,rankinf,dupl,temp,windspeed,winddir,cloudc,disttoedgecalc,disttoedgemeasured,w100,w200,w300,w400,w500,w600,w700,w800,w900,w1000,w1500,w2000,c100,c200,c300,c400,c500,c1000,c1500,area,perimeter,gyration,paratio,shape,fractaldimention,circumscircle,contiguity,links100,links200,links300,links400,links500,links1000,links1500,links2000,windspeed2
MC2AS5,109,48,3,MC2-A5,Barbara,17,0,4,3,654180,654189,6176313,6176294,edge,I,26,3.663935083,0,28,4.5,NA,NA,62.96,32,91,814,2940,9158,13497,NA,NA,NA,NA,57358,95791,205700,18785,56732,112574,185865,276459,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,36,40,1181,1642,3869,8.3
MC2AS6,110,49,3,MC2-A6,Barbara,7,0,3,3,653970,653948,6176146,6176133,edge,O,12,3.482258065,0,29,3.5,NA,NA,15.29,15,1860,5417,8208,11249,14047,NA,NA,NA,NA,60434,104578,200700,18733,68093,145180,244704,359410,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,34,34,36,40,1305,1655,3381,5.7
MC2AS7,111,50,3,MC2-A7,Barbara,8,4,7,3,653884,653867,6176344,6176338,200,I,15.75,3.75,0,32,3.5,NA,NA,232.68,233,0,0,1563,5529,8955,NA,NA,NA,NA,56404,97156,202300,31415,125661,264216,403091,543308,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,34,34,1481,1634,2761,5.7
MC2AS8,112,51,3,MC2-A8,Barbara,5,1,0,3,653841,653828,6176409,6176398,400,O,21.5,4,0,32,4,NA,NA,306.89,307,0,0,1,2640,6875,NA,NA,NA,NA,54368,101465,202000,31415,125661,282740,458209,583068,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,34,1481,1634,2522,6.9
MC2AS9,113,52,3,MC2-A9,Barbara,7,1,0,3,653769,653750,6176253,6176241,200,I,36,4,0,31,4,NA,NA,196.55,197,0,0,1617,5485,9311,NA,NA,NA,NA,56421,99239,197200,31415,125491,247316,397232,562058,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,34,34,1481,1634,2583,6.9
MC2AS10,114,53,3,MC2-A10,Barbara,9,1,3,3,653602,653585,6176011,6176009,edge,I,27.5,4,0,32,3,NA,NA,38.55,39,4,252,942,4012,11996,NA,NA,NA,NA,56800,110171,193800,23492,79789,165560,249321,337493,666422,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,34,1305,1633,2693,4.5
MC2AS11,115,54,3,MC2-A11,Barbara,25,4,3,3,653338,653331,6175862,6175873,edge,O,42.25,3.5,0,32,4,NA,NA,0.82,14,336,791,2204,5424,8549,NA,NA,NA,NA,39631,107994,205800,9559,33209,69832,115125,171717,565798,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,2,58,1483,2099,6.9
MC2AS12,116,55,3,MC2-A12,Barbara,10,0,5,3,653413,653399,6176046,6176058,100,I,27,3.260135135,0,31,4,NA,NA,107.22,107,469,810,1778,4133,7896,NA,NA,NA,NA,55233,99323,200500,31415,98468,154715,221464,298442,654628,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,3,4,1108,1483,2601,6.9
MC2AS13,117,56,3,MC2-A13,Barbara,11,0,2,3,653350,653354,6176325,6176340,edge,I,24,3.760135135,0,30,4,NA,NA,70.93,51,157,3183,4895,6449,8758,NA,NA,NA,NA,50445,93781,207900,25427,82326,168724,276003,379272,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,3,4,4,14,1104,1496,2752,6.9
MC2AS14,118,57,3,MC2-A14,Barbara,6,4,2,3,653500,653500,6176354,6176377,200,O,19.5,3.887596899,0,30,4,NA,NA,218.17,200,0,49,2844,5988,8608,NA,NA,NA,NA,51601,96263,210500,31415,125645,247160,381452,489253,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,2,3,18,1108,1484,2765,6.9
MC2AS15,119,58,3,MC2-A15,Barbara,6,0,4,3,653377,653388,6176620,6176636,edge,O,21,3.819800289,0,29,3.5,NA,NA,33.23,19,1057,3208,10229,22613,26025,NA,NA,NA,NA,45363,108610,220600,16786,56189,117358,198636,301075,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,8,239,996,1068,1105,2199,2762,5.7
MC2AS16,120,59,3,MC2-A16,Barbara,11,0,1,3,653695,653704,6176748,6176763,edge,I,18.5,3.93220339,0,29,4,NA,NA,48.44,45,4,969,11147,18372,21997,NA,NA,NA,NA,45707,115034,210200,24475,80855,168538,285914,394143,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,532,1043,1065,1106,2309,2641,6.9
MC2AS17,121,60,3,MC2-A17,Barbara,3,0,0,3,653742,653728,6176638,6176629,200,O,26,3.656950673,0,31,4,NA,NA,173.95,171,0,4,235,10501,18912,NA,NA,NA,NA,49079,112448,207700,31415,121567,238053,382417,504679,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,257,976,1111,2249,2654,6.9
MC2AS18,122,61,3,MC2-A18,Barbara,3,1,5,3,653774,653762,6176362,6176349,400,O,15,3.313901345,0,31,4,NA,NA,291.66,292,0,0,0,2542,7558,NA,NA,NA,NA,54372,98309,202400,31415,125661,281959,458393,607976,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,34,1481,1634,2571,6.9
G1G1,123,62,5,G1-1,Sonia,15,40,6,5,655456,655449,6193520,6193513,edge,O,11.5,3,0,NA,1,N,100,20.81,21,775,3670,8430,12814,26843,NA,NA,NA,NA,88785,284500,402600,15127,44503,86450,129745,170423,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,20,49,99,995,11084,14794,0.9
G1G2,124,63,5,G1-2,Sonia,12,25,23,5,655383,655379,6193572,6193541,edge,O,10.25,3,0,NA,1,N,100,41.29,41,275,3233,6194,11230,18587,NA,NA,NA,NA,82700,283680,429000,28253,71854,120118,161796,196943,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,1,35,75,821,10963,15613,0.9
G1G3,125,64,5,G1-3,Sonia,15,27,9,5,655388,655390,6193694,6193710,edge,I,13,2.943965517,0,NA,2,N,100,46.05,37,512,2457,8055,10995,22864,NA,NA,NA,NA,85434,294350,431500,22760,70422,124759,166365,195126,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,2,11,49,961,11375,15210,2.5
G1G4,126,65,5,G1-4,Sonia,14,21,27,5,655265,655244,6193726,6193729,150,O,11.25,3.153546356,0,NA,1,N,100,123.71,108,0,100,2528,8342,11791,NA,NA,NA,NA,97160,283206,450200,31415,99970,172054,196246,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,0,9,820,8439,16778,0.9
G1G5,127,66,5,G1-5,Sonia,22,14,15,5,655419,655392,6193771,6193780,edge,I,5.5,3.209580838,0,NA,3,N,90,41.03,25,162,2499,7968,14590,22674,NA,NA,NA,NA,88366,298908,433200,15258,46304,100888,154192,188752,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,3,19,39,974,11042,15195,4.5
G1G6,128,67,5,G1-6,Sonia,10,4,8,5,655291,655269,6193821,6193829,edge,O,6.25,3,0,NA,3,N,95,23.82,8,0,100,2547,8885,14448,NA,NA,NA,NA,103907,288043,454600,17416,62456,121339,184325,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,0,15,954,9165,16320,4.5
G1G7,129,68,5,G1-7,Sonia,8,10,11,5,655168,655145,6193819,6193828,edge,I,5.75,3,0,NA,3.5,N,95,46.54,28,0,556,626,2668,10270,NA,NA,NA,NA,104043,268268,467000,21223,73044,138338,185978,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,0,0,1042,7311,17676,5.7
G1G8,130,69,5,G1-8,Sonia,14,12,16,5,655145,655127,6193726,6193732,150,O,7.75,2.5,0,NA,3,N,100,143.76,125,0,201,748,3564,9737,NA,NA,NA,NA,98457,263859,466700,31415,109261,176171,196171,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,0,0,823,6974,18833,4.5
G1G9,131,70,5,G1-9,Sonia,12,5,15,5,655021,654998,6193847,6193850,edge,I,2.75,2,0,NA,3,N,100,47.92,24,556,556,879,1963,4860,NA,NA,NA,NA,92087,245268,471500,15584,47849,96748,152735,183424,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,0,1,384,5687,19002,4.5
G1G10,132,71,5,G1-10,Sonia,4,1,5,5,654939,654939,6193729,6193707,edge,O,1.25,3,0,NA,4,N,100,19.16,9,0,373,2287,4066,7672,NA,NA,NA,NA,85780,216700,468700,17598,63251,108815,148464,186294,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,1,4,511,4147,19549,6.9
G1G11,133,72,5,G1-11,Sonia,1,6,23,5,654952,654947,6193617,6193599,edge,I,8.25,3,0,NA,4,N,100,52.23,46,0,669,2245,4290,6251,NA,NA,NA,NA,84805,211193,457900,24561,64684,113390,155809,192103,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,0,3,944,3873,19247,6.9
G1G12,134,73,5,G1-12,Sonia,3,15,25,5,655073,655092,6193575,6193568,150,O,4.5,3,0,NA,4,N,100,90.37,90,0,150,1334,3940,8407,NA,NA,NA,NA,90941,243465,454000,30904,95822,162409,195216,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,0,1,828,6111,17946,6.9
G1G13,135,74,5,G1-13,Sonia,6,11,15,5,654905,654926,6193533,6193529,edge,I,10.75,3.5,0,NA,3,N,100,29.43,20,211,1332,2490,4192,5852,NA,NA,NA,NA,85466,204454,457300,13909,41942,84330,135354,179330,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,1,3,1308,3842,19810,4.5
G1G14,136,75,5,G1-14,Sonia,23,13,15,5,655073,655090,6193489,6193483,edge,O,17.75,3.420289855,0,NA,3,N,100,4.88,5,0,588,1422,3000,9158,NA,NA,NA,NA,92151,234298,447800,16782,64686,127800,188246,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,0,13,1199,6114,17105,4.5
G1G15,137,76,5,G1-15,Sonia,9,12,41,5,655230,655258,6193498,6193504,edge,I,18.5,2.893262828,0,NA,3,N,100,27.41,27,368,710,2410,7376,13734,NA,NA,NA,NA,82737,262794,446500,24310,79697,144391,192217,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,23,69,1533,7986,17470,4.5
G1G16,138,77,5,G1-16,Sonia,13,4,30,5,655256,655273,6193613,6193603,150,O,15.75,2.915830116,0,NA,2,N,100,136.44,136,0,905,3386,7352,13525,NA,NA,NA,NA,87857,273435,448900,31415,112713,169567,197019,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,1,36,859,8737,17388,2.5
G1G17,139,78,5,G1-17,Sonia,15,8,30,5,655355,655375,6193489,6193481,edge,I,13.5,2.885714286,0,NA,2.5,N,100,55.1,55,135,2439,7009,10352,18889,NA,NA,NA,NA,82897,277167,428500,23317,58151,104530,154762,193123,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,19,46,77,1088,10660,16535,3.5
G1D1,141,62,5,G1-1,Micah,20,30,7,5,655450,655432,6193546,6193535,edge,I,14,3,0,NA,1,N,100,34,34,1144,3839,8522,12458,25811,NA,NA,NA,NA,87476,285594,409200,17810,51776,95928,137746,177916,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,10,42,97,961,11116,14865,0.9
G1D2,142,63,5,G1-2,Micah,8,19,6,5,655367,655365,6193578,6193550,edge,I,14.25,3,0,NA,1,N,100,52.1,52,265,2868,5789,11062,16985,NA,NA,NA,NA,82218,283484,430800,29088,77764,126680,168201,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,1,30,73,807,10932,15729,0.9
G1D3,143,64,5,G1-3,Micah,16,25,7,5,655406,655414,6193686,6193703,edge,O,13.5,2.943965517,0,NA,2,N,100,24.21,15,695,3624,8058,12394,24055,NA,NA,NA,NA,84750,294534,427400,18615,65397,117063,158402,192714,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,5,14,59,965,11354,14949,2.5
G1D4,144,65,5,G1-4,Micah,7,25,4,5,655258,655241,6193702,6193710,150,I,13.5,3.153546356,0,NA,1,N,100,146.25,130,0,107,2313,7595,12066,NA,NA,NA,NA,95952,281047,451600,31415,107828,178339,196962,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,0,9,816,8190,16993,0.9
G1D5,145,66,5,G1-5,Micah,22,8,5,5,655419,655411,6193788,6193790,edge,O,6.5,3.209580838,0,NA,3,N,90,34.21,17,185,2606,7919,14904,22967,NA,NA,NA,NA,89675,298724,433900,12630,41392,93266,148781,185905,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,4,22,39,977,11082,15173,4.5
G1D6,146,67,5,G1-6,Micah,12,4,4,5,655285,655269,6193793,6193803,edge,I,7,3,0,NA,3,N,95,50.92,35,0,100,2763,9262,14121,NA,NA,NA,NA,102202,287801,453500,22692,72139,135084,188794,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,1,15,917,9096,16396,4.5
G1D7,147,68,5,G1-7,Micah,7,1,3,5,655173,655155,6193844,6193845,edge,O,5.25,3,0,NA,3.5,N,95,24.64,6,0,556,651,2568,10010,NA,NA,NA,NA,105447,268770,465900,16933,64575,127849,181231,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,0,0,1043,7398,17577,5.7
G1D8,148,69,5,G1-8,Micah,6,5,19,5,655141,655120,6193713,6193715,150,I,5.25,2.5,0,NA,3,N,100,159.41,141,0,193,912,3700,9371,NA,NA,NA,NA,97470,262749,466000,31415,113839,178092,196361,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,0,0,817,6862,18832,4.5
G1D9,149,70,5,G1-9,Micah,20,17,10,5,655030,655008,6193863,6193862,edge,O,8.25,2,0,NA,3,N,100,32.55,10,556,556,678,1919,4660,NA,NA,NA,NA,92813,248201,473000,13904,45198,93112,151893,182710,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,0,1,384,5878,19030,4.5
G1D10,150,71,5,G1-10,Micah,5,0,3,5,654962,654968,6193725,6193749,edge,I,1.5,3,0,NA,4,N,100,40.76,29,0,528,1685,3415,6813,NA,NA,NA,NA,87932,226688,463900,21596,67757,116144,156173,188705,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,0,3,401,5257,19080,6.9
G1D11,151,72,5,G1-11,Micah,0,17,10,5,654929,654927,6193622,6193604,edge,O,9.25,3,0,NA,4,N,100,29.68,24,0,1011,2612,4608,6586,NA,NA,NA,NA,83305,208866,461800,20245,58105,105211,147201,187339,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,1,3,839,3863,19676,6.9
G1D12,152,73,5,G1-12,Micah,4,16,25,5,655083,655097,6193592,6193587,150,I,9,3,0,NA,4,N,100,109.08,109,0,58,1090,3932,8521,NA,NA,NA,NA,91862,245754,455500,31415,103017,167764,196064,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,0,1,507,6070,18081,6.9
G1D13,153,74,5,G1-13,Micah,24,23,11,5,654903,654925,6193519,6193512,edge,O,22.25,3.5,0,NA,3,N,100,14.3,15,226,1468,2348,3770,5625,NA,NA,NA,NA,85621,204499,454800,12084,38765,79812,132014,177090,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,0,3,1419,3880,19959,4.5
G1D14,154,75,5,G1-14,Micah,10,8,9,5,655071,655093,6193508,6193500,edge,I,13.25,3.420289855,0,NA,3,N,100,22.75,23,0,588,1441,3320,9064,NA,NA,NA,NA,93599,237449,449400,20315,71581,135626,190635,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,0,2,1094,6216,17212,4.5
G1D15,155,76,5,G1-15,Micah,6,16,21,5,655225,655251,6193486,6193480,edge,O,6.25,2.893262828,0,NA,3,N,100,9.27,9,494,710,2118,7297,14124,NA,NA,NA,NA,84089,260729,446300,20843,72614,137023,190135,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,25,67,1643,7851,17283,4.5
G1D16,156,77,5,G1-16,Micah,13,2,28,5,655262,655274,6193626,6193614,150,I,12.5,2.915830116,0,NA,2,N,100,148.78,149,0,932,3574,7476,13317,NA,NA,NA,NA,88278,275454,449800,31415,114662,169704,197019,197019,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,0,0,1,34,813,8824,17392,2.5
G1D17,157,78,5,G1-17,Micah,16,4,24,5,655351,655375,6193470,6193460,edge,O,11.25,2.885714286,0,NA,2.5,N,100,35,35,136,2237,6918,10343,19243,NA,NA,NA,NA,83302,275438,427200,19606,53376,97780,150543,190936,197019,197019,19.7305,2194,174.5011,111.1984,1.234,1.0346,0.3566,0.9966,0,1,23,62,76,1135,10575,16525,3.5
GCH1,159,80,7,GC1,Steve,22,17,35,4,660517,660523,6202530,6202505,edge,I,13.75,3,0,19,6,NE,NA,41.97,36,3050,9579,20112,35937,57704,86306,117740,159683,208318,239422,456314,1062800,19294,42108,70050,112881,167373,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,315,406,560,829,1784,16085,28080,121050,12.5
GCS1,160,80,7,GC1,Barbara,41,17,37,4,660520,660508,6202549,6202493,edge,O,22.25,3,0,19,6,NE,NA,35.6,30,3268,9879,20526,36152,57784,85892,118704,159811,208548,240221,455899,1067200,17984,41381,67959,109748,164260,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,315,406,591,926,1804,16699,28262,122170,12.5
GCH2,161,81,7,GC2,Steve,37,37,44,4,660649,660662,6202513,6202531,100,I,17.75,3.5,0,19,6,NE,NA,102.85,103,1380,4214,12873,31397,60412,84583,114250,154230,190514,234895,472221,1086300,24085,73189,119412,174925,184550,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,0,168,394,1358,2936,15908,31589,130385,12.5
GCS2,162,81,7,GC2,Barbara,40,19,25,4,660634,660650,6202514,6202531,100,O,25.5,3.5,0,19,6,NE,NA,97.02,97,1394,5170,13431,31192,60294,84974,114263,155184,192486,235327,469425,1081600,24687,69633,112947,170974,184550,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,0,315,408,805,2960,16028,30226,129201,12.5
GCH3,163,82,7,GC3,Steve,30,10,19,4,660661,660687,6202611,6202623,edge,O,9.25,3.5,0,20,5,NE,NA,20.16,20,1388,3851,14892,34766,61281,82986,127540,164550,204405,240301,507396,1115400,18365,49128,103250,153861,182836,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,0,0,327,1176,3286,17651,39843,136078,9.6
GCS3,164,82,7,GC3,Barbara,38,13,35,4,660665,660688,6202589,6202593,edge,I,21.75,3.5,0,20,5,NE,NA,45.56,46,1932,3770,13972,34423,61215,82178,124713,161344,200025,238601,501116,1110900,22487,57010,111558,162610,184280,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,0,0,365,1470,3162,17292,38358,135532,9.6
